,Clusters,hsa_mir_375,hsa_mir_5698,hsa_mir_205,hsa_mir_149,hsa_mir_129_1,hsa_mir_129_2,hsa_mir_6510,hsa_mir_204,hsa_mir_944
TCGA-05-4384,C1,16294.25465,14.86659,2.477765,14.158657,0.707933,1.651843,2.831731,2.595754,4.247597
TCGA-05-4396,C2,92205.53613,0.775874,3.768531,20.948599,37.906989,40.012933,0.332517,4.655244,0.554196
TCGA-05-4405,C2,21994.19565,11.300108,27.203964,39.062102,0.55803,0.976553,0.837045,2.092613,3.069165
TCGA-05-4410,C2,10395.30725,12.131219,111.640003,12.295155,1.147548,2.622966,2.786902,2.786902,1.475419
TCGA-05-4417,C2,58024.67227,3.866434,20.98921,9.942258,0.276174,1.380869,1.933217,13.808691,1.104695
TCGA-05-4427,C2,16713.23293,3.081429,2.641225,0.880408,0.440204,0.440204,0.220102,0.660306,16.287555
TCGA-05-5420,C3,7038.780229,0.194023,2.134257,1.74621,0.776094,0,0.58207,6.014725,1.74621
TCGA-05-5423,C3,35265.21826,8.08014,213.826021,10.461655,1.360866,0.935595,0.425271,1.44592,1.105703
TCGA-05-5425,C1,19758.96791,0.680702,12.933341,13.614043,1.815206,0.226901,0,1.134504,0.907603
TCGA-05-5429,C2,14376.3419,0,79.763739,6.480208,0.66708,0.762377,3.335401,0.571783,1.334161
TCGA-05-5715,C2,40272.89911,1.214396,105.895347,10.079488,1.214396,0.485758,37.767721,2.307353,0.607198
TCGA-18-4721,C5,674.226753,1.457788,9858.28847,127.556413,24.782389,15.30677,20.409026,103.502918,201.174685
TCGA-18-5592,C5,300.408987,1.025287,50022.7101,807.925876,5.126433,4.101147,10.252866,38.960892,240.942361
TCGA-18-5595,C5,2386.767318,0,30334.76416,410.746004,4.933886,2.466943,104.845076,2.466943,415.679889
TCGA-21-5782,C4,1132.042213,1.395286,20709.5356,219.525031,1.627834,1.162739,60.229855,3.953311,237.198656
TCGA-21-5784,C3,3711.753984,0.290003,21833.19872,234.902784,1.740021,2.030024,24.070285,18.850223,41.180488
TCGA-21-5786,C5,778.244946,1.243203,45462.06118,94.483412,1.864804,2.486406,12.432028,3.108007,57.80893
TCGA-21-5787,C1,1442.908599,1.191502,477.792195,75.064609,3.574505,1.191502,0,1.191502,1.191502
TCGA-21-A5DI,C4,116.745953,2.170896,26337.79042,407.404781,0.241211,0.964843,5.065424,7.47753,71.398351
TCGA-22-4605,C4,6233.201261,0.924807,19453.32174,562.282844,8.014997,7.706728,23.428452,8.939804,120.533219
